ADHD	ASD	BD	MDD	SCZ
ACAN	0	0	0	0	0
ACAP1	0	0	0	0	0
ACAP2	0	0	0	0	0
ACAP3	0	0	0	0	0
ACAT1	0	0	0	0	0
ACAT2	0	0	0	0	0
ACBD3	0	0	0	0	0
ACBD4	0	0	0	0	0
ACBD5	0	0	0	0	0
ACBD6	0	0	0	0	0
ACBD7	0	0	0	0	0
ACCS	0	0	0	0	0
ACCSL	0	0	0	0	0
ACD	0	0	0	0	0
ACE	0	0	0	0	0
ACER1	0	0	0	0	0
ACER2	0	0	0	0	0
ACER3	0	0	0	0	0
ACHE	0	0	0	0	0
ACIN1	0	0	0	0	0
ACLY	0	0	0	0	0
ACMSD	0	0	0	0	0
ACN9	0	0	0	0	0
ACO1	0	0	0	0	0
ACO2	0	0	0	0	0
ACOT1	0	0	0	0	0
ACOT11	0	0	0	0	0
ACOT12	0	0	0	0	0
ACOT13	0	0	0	0	0
ACOT2	0	0	0	0	0
ACOT4	0	0	0	0	0
ACOT6	0	0	0	0	0
ACOT7	0	0	0	0	0
ACOT8	0	0	0	0	0
ACOX1	0	0	0	0	0
ACOX2	0	0	0	0	0
ACOX3	0	0	0	0	0
ACOXL	0	0	0	0	0
ACP1	0	0	0	0	0
ACP2	0	0	0	0	0
ACP5	0	0	0	0	0
ACP6	0	0	0	0	0
ACPL2	0	0	0	0	0
ACPP	0	0	0	0	0
ACPT	0	0	0	0	0
ACR	0	0	0	0	1
ACRBP	0	0	0	0	0
ACRV1	0	0	0	0	0
ACSBG1	0	0	0	0	0
ACSBG2	0	0	0	0	0
ACSF2	0	0	0	0	0
ACSF3	0	0	0	0	0
ACSL1	0	0	0	0	0
ACSL3	0	0	0	0	0
ACSL5	0	0	0	0	0
ACSL6	0	0	0	0	0
ACSM1	0	0	0	0	0
ACSM2A	0	0	0	0	0
ACSM2B	0	0	0	0	0
ACSM3	0	0	0	0	0
ACSM4	0	0	0	0	0
ACSM5	0	0	0	0	0
ACSS1	0	0	0	0	0
ACSS2	0	0	0	0	0
ACSS3	0	0	0	0	0
ACTA1	0	0	0	0	0
ACTA2	0	0	0	0	0
ACTB	0	0	0	0	0
ACTBL2	0	0	0	0	0
ACTC1	0	0	0	0	0
ACTG1	0	0	0	0	0
ACTG1P4	0	0	0	0	0
ACTG2	0	0	0	0	0
ACTL10	0	0	0	0	0
ACTL6A	0	0	0	0	0
ACTL6B	0	0	0	0	0
ACTL7A	0	0	0	0	0
ACTL7B	0	0	0	0	0
ACTL8	0	0	0	0	0
ACTL9	0	0	0	0	0
ACTN1	0	0	0	0	0
ACTN1-AS1	0	0	0	0	0
ACTN2	0	0	0	0	0
ACTN3	0	0	0	0	0
ACTN4	0	0	0	0	0
ACTR10	0	0	0	0	0
ACTR1A	0	0	0	0	0
ACTR1B	0	0	0	0	0
ACTR2	0	0	0	0	0
ACTR3	0	0	0	0	0
ACTR3B	0	0	0	0	0
ACTR3BP2	0	0	0	0	0
ACTR3BP5	0	0	0	0	0
ACTR3C	0	0	0	0	0
ACTR5	0	0	0	0	0
ACTR6	0	0	0	0	0
ACTR8	0	0	0	0	0
ACTRT2	0	0	0	0	0
ACTRT3	0	0	0	0	0
ACVR1	0	0	0	0	0
ACVR1B	0	0	0	0	0
ACVR1C	0	0	0	0	0
ACVR2A	0	0	0	0	0
ACVR2B	0	0	0	0	0
ACVR2B-AS1	0	0	0	0	0
ACVRL1	0	0	0	0	0
ACY1	0	0	0	0	0
ACY3	0	0	0	0	0
ACYP1	0	0	0	0	0
ACYP2	0	0	0	0	0
ADA	0	0	0	0	0
ADAD1	0	0	0	0	0
ADAD2	0	0	0	0	0
ADAL	0	0	0	0	0
ADAM10	0	0	0	0	0
ADAM11	0	0	0	0	0
ADAM12	0	0	0	0	0
ADAM15	0	0	0	0	0
ADAM17	0	0	0	0	0
ADAM18	0	0	0	0	0
ADAM19	0	0	0	0	0
ADAM1A	0	0	0	0	0
ADAM2	0	0	0	0	0
ADAM20	0	0	0	0	0
ADAM20P1	0	0	0	0	0
ADAM21	0	0	0	0	0
ADAM21P1	0	0	0	0	0
ADAM22	0	0	0	0	0
ADAM23	0	0	0	0	0
ADAM28	0	0	0	0	0
ADAM29	0	0	0	0	0
ADAM30	0	0	0	0	0
ADAM32	0	0	0	0	0
ADAM33	0	0	0	0	0
ADAM3A	0	0	0	0	0
ADAM5	0	0	0	0	0
ADAM6	0	0	0	0	0
ADAM7	0	0	0	0	0
ADAM8	0	0	0	0	0
ADAM9	0	0	0	0	0
ADAMDEC1	0	0	0	0	0
ADAMTS1	0	0	0	0	0
ADAMTS10	0	0	0	0	0
ADAMTS12	0	0	0	0	0
ADAMTS13	0	0	0	0	0
ADAMTS14	0	0	0	0	0
ADAMTS15	0	0	0	0	0
ADAMTS16	0	0	0	0	0
ADAMTS17	0	0	0	0	0
ADAMTS18	0	0	0	0	0
ADAMTS19	0	0	0	0	0
ADAMTS2	0	0	0	0	0
ADAMTS20	0	0	0	0	0
ADAMTS3	0	0	0	0	0
ADAMTS4	0	0	0	0	0
ADAMTS5	0	0	0	0	0
ADAMTS6	0	0	0	0	0
ADAMTS7	0	0	0	0	0
ADAMTS8	0	0	0	0	0
ADAMTS9	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0
ADAMTSL1	0	0	0	0	0
ADAMTSL2	0	0	0	0	0
ADAMTSL3	0	0	0	0	0
ADAMTSL4	0	0	0	0	0
ADAMTSL5	0	0	0	0	0
ADAP1	0	0	0	0	0
ADAP2	0	0	0	0	0
ADAR	0	0	0	0	0
ADARB1	0	0	0	0	0
ADARB2	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0
ADAT1	0	0	0	0	0
ADAT2	0	0	0	0	0
ADC	0	0	0	0	0
ADCK1	0	0	0	0	0
ADCK2	0	0	0	0	0
ADCK3	0	0	0	0	0
ADCK4	0	0	0	0	0
ADCK5	0	0	0	0	0
ADCY1	0	0	0	0	0
ADCY10	0	0	0	0	0
ADCY10P1	0	0	0	0	0
ADCY2	0	0	0	0	0
ADCY3	0	0	0	0	0
ADCY4	0	0	0	0	0
ADCY5	0	0	0	0	0
ADCY6	0	0	0	0	0
ADCY7	0	0	0	0	0
ADCY8	0	0	0	0	0
ADCY9	0	0	0	0	0
ADCYAP1	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0
ADD1	0	0	0	0	0
ADD2	0	0	0	0	0
ADD3	0	0	0	0	0
ADGB	0	0	0	0	0
ADH1A	0	0	0	0	0
ADH1B	0	0	0	0	0
ADH1C	0	0	0	0	0
ADH4	0	0	0	0	0
ADH5	0	0	0	0	0
ADH6	0	0	0	0	0
ADH7	0	0	0	0	0
ADHFE1	0	0	0	0	0
ADI1	0	0	0	0	0
ADIG	0	0	0	0	0
ADIPOQ	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0
ADIPOR1	0	0	0	0	0
ADIPOR2	0	0	0	0	0
ADIRF	0	0	0	0	0
ADK	0	0	0	0	0
ADM	0	0	0	0	0
ADM2	0	0	0	0	0
ADM5	0	0	0	0	0
ADNP	0	0	0	0	0
ADNP2	0	0	0	0	0
ADO	0	0	0	0	0
ADORA1	0	0	0	0	0
ADORA2A	0	0	0	0	0
ADORA2A-AS1	0	0	0	0	0
ADORA2B	0	0	0	0	0
ADORA3	0	0	0	0	0
ADPGK	0	0	0	0	0
ADPGK-AS1	0	0	0	0	0
ADPRH	0	0	0	0	0
ADPRHL1	0	0	0	0	0
ADPRHL2	0	0	0	0	0
ADPRM	0	0	0	0	0
ADRA1A	0	0	0	0	0
ADRA1B	0	0	0	0	0
ADRA1D	0	0	0	0	0
ADRA2A	0	0	0	0	0
ADRA2B	0	0	0	0	0
ADRA2C	0	0	0	0	0
ADRB1	0	0	0	0	0
ADRB2	0	0	0	0	0
ADRBK1	0	0	0	0	0
ADRBK2	0	0	0	0	0
ADRM1	0	0	0	0	0
ADSL	0	0	0	0	0
ADSS	0	0	0	0	0
ADSSL1	0	0	0	0	0
ADTRP	0	0	0	0	0
AEBP1	0	0	0	0	0
AEBP2	0	0	0	0	0
AEN	0	0	0	0	0
AES	0	0	0	0	0
AFAP1	0	0	0	0	0
AFAP1-AS1	0	0	0	0	0
AFAP1L1	0	0	0	0	0
AFAP1L2	0	0	0	0	0
AFF1	0	0	0	0	0
AFF3	0	0	0	0	0
AFF4	0	0	0	0	0
AFG3L1P	0	0	0	0	0
AFG3L2	0	0	0	0	0
AFM	0	0	0	0	0
AFMID	0	0	0	0	0
AFP	0	0	0	0	0
AFTPH	0	0	0	0	0
AGA	0	0	0	0	0
AGAP1	0	0	0	0	0
AGAP11	0	0	0	0	0
AGAP2	0	0	0	0	0
AGAP2-AS1	0	0	0	0	0
AGAP3	0	0	0	0	0
AGAP5	0	0	0	0	0
AGAP6	0	0	0	0	0
AGAP7	0	0	0	0	0
AGAP9	0	0	0	0	0
AGBL1	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0
AGBL2	0	0	0	0	0
AGBL3	0	0	0	0	0
AGBL4	0	0	0	0	0
AGBL5	0	0	0	0	0
AGFG1	0	0	0	0	0
AGFG2	0	0	0	0	0
AGGF1	0	0	0	0	0
AGK	0	0	0	0	0
AGL	0	0	0	0	0
AGMAT	0	0	0	0	0
AGMO	0	0	0	0	0
AGO1	0	0	0	0	0
AGO2	0	0	0	0	0
AGO3	0	0	0	0	0
AGO4	0	0	0	0	0
AGPAT2	0	0	0	0	0
AGPAT3	0	0	0	0	0
AGPAT4	0	0	0	0	0
AGPAT4-IT1	0	0	0	0	0
AGPAT5	0	0	0	0	0
AGPAT6	0	0	0	0	0
AGPAT9	0	0	0	0	0
AGPHD1	0	0	0	0	0
AGPS	0	0	0	0	0
AGR2	0	0	0	0	0
AGR3	0	0	0	0	0
AGRN	0	0	0	0	0
AGRP	0	0	0	0	0
AGT	0	0	0	0	0
AGTPBP1	0	0	0	0	0
AGTR1	0	0	0	0	0
AGTRAP	0	0	0	0	0
AGXT	0	0	0	0	0
AGXT2	0	0	0	0	0
AGXT2L1	0	0	0	0	0
AGXT2L2	0	0	0	0	0
AHCTF1	0	0	0	0	0
AHCTF1P1	0	0	0	0	0
AHCY	0	0	0	0	0
AHCYL1	0	0	0	0	0
AHCYL2	0	0	0	0	0
AHDC1	0	0	0	0	0
AHI1	0	0	0	0	0
AHNAK	0	0	0	0	0
AHNAK2	0	0	0	0	0
AHR	0	0	0	0	0
AHRR	0	0	0	0	0
AHSA1	0	0	0	0	0
AHSA2	0	0	0	0	0
AHSG	0	0	0	0	0
AHSP	0	0	0	0	0
AICDA	0	0	0	0	0
AIDA	0	0	0	0	0
AIF1L	0	0	0	0	0
AIFM2	0	0	0	0	0
AIFM3	0	0	0	0	0
AIG1	0	0	0	0	0
AIM1	0	0	0	0	0
AIM1L	0	0	0	0	0
AIM2	0	0	0	0	0
AIMP1	0	0	0	0	0
AIMP2	0	0	0	0	0
AIP	0	0	0	0	0
AIPL1	0	0	0	0	0
AIRE	0	0	0	0	0
AIRN	0	0	0	0	0
AJAP1	0	0	0	0	0
AJUBA	0	0	0	0	0
AK1	0	0	0	0	0
AK2	0	0	0	0	0
AK3	0	0	0	0	0
AK4	0	0	0	0	0
AK5	0	0	0	0	0
AK7	0	0	0	0	0
AK8	0	0	0	0	0
AK9	0	0	0	0	0
AKAP1	0	0	0	0	0
AKAP10	0	0	0	0	0
AKAP11	0	0	0	0	0
AKAP12	0	0	0	0	0
AKAP13	0	0	0	0	0
AKAP2	0	0	0	0	0
AKAP3	0	0	0	0	0
AKAP5	0	0	0	0	0
AKAP6	0	0	0	0	0
AKAP7	0	0	0	0	0
AKAP8	0	0	0	0	0
AKAP8L	0	0	0	0	0
AKAP9	0	0	0	0	0
AKIP1	0	0	0	0	0
AKIRIN1	0	0	0	0	0
AKIRIN2	0	0	0	0	0
AKNA	0	0	0	0	0
AKNAD1	0	0	0	0	0
AKR1A1	0	0	0	0	0
AKR1B1	0	0	0	0	0
AKR1B10	0	0	0	0	0
AKR1B15	0	0	0	0	0
AKR1C1	0	0	0	0	0
AKR1C2	0	0	0	0	0
AKR1C3	0	0	0	0	0
AKR1C4	0	0	0	0	0
AKR1C6P	0	0	0	0	0
AKR1CL1	0	0	0	0	0
AKR1D1	0	0	0	0	0
AKR1E2	0	0	0	0	0
AKR7A2	0	0	0	0	0
AKR7A2P1	0	0	0	0	0
AKR7A3	0	0	0	0	0
AKR7L	0	0	0	0	0
AKT1	0	0	0	0	0
AKT1S1	0	0	0	0	0
AKT2	0	0	0	0	0
AKT3	0	0	0	0	0
AKTIP	0	0	0	0	0
ALAD	0	0	0	0	0
ALAS1	0	0	0	0	0
ALB	0	0	0	0	0
ALCAM	0	0	0	0	0
ALDH16A1	0	0	0	0	0
ALDH18A1	0	0	0	0	0
ALDH1A1	0	0	0	0	0
ALDH1A2	0	0	0	0	0
ALDH1A3	0	0	0	0	0
ALDH1B1	0	0	0	0	0
ALDH1L1	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0
ALDH1L2	0	0	0	0	0
ALDH2	0	0	0	0	0
ALDH3A1	0	0	0	0	0
ALDH3A2	0	0	0	0	0
ALDH3B1	0	0	0	0	0
ALDH3B2	0	0	0	0	0
ALDH4A1	0	0	0	0	0
ALDH5A1	0	0	0	0	0
ALDH6A1	0	0	0	0	0
ALDH7A1	0	0	0	0	0
ALDH8A1	0	0	0	0	0
ALDH9A1	0	0	0	0	0
ALDOA	0	0	0	0	0
ALDOB	0	0	0	0	0
ALDOC	0	0	0	0	0
ALG1	0	0	0	0	0
ALG10	0	0	0	0	0
ALG10B	0	0	0	0	0
ALG12	0	0	0	0	0
ALG14	0	0	0	0	0
ALG1L	0	0	0	0	0
ALG1L2	0	0	0	0	0
ALG1L9P	0	0	0	0	0
ALG2	0	0	0	0	0
ALG3	0	0	0	0	0
ALG5	0	0	0	0	0
ALG6	0	0	0	0	0
ALG8	0	0	0	0	0
ALG9	0	0	0	0	0
ALK	0	0	0	0	0
ALKBH1	0	0	0	0	0
ALKBH2	0	0	0	0	0
ALKBH3	0	0	0	0	0
ALKBH4	0	0	0	0	0
ALKBH5	0	0	0	0	0
ALKBH6	0	0	0	0	0
ALKBH7	0	0	0	0	0
ALKBH8	0	0	0	0	0
ALLC	0	0	0	0	0
ALMS1	0	0	0	0	0
ALMS1P	0	0	0	0	0
ALOX12	0	0	0	0	0
ALOX12B	0	0	0	0	0
ALOX12P2	0	0	0	0	0
ALOX15	0	0	0	0	0
ALOX15B	0	0	0	0	0
ALOX15P1	0	0	0	0	0
ALOX5	0	0	0	0	0
ALOX5AP	0	0	0	0	0
ALOXE3	0	0	0	0	0
ALPI	0	0	0	0	0
ALPK1	0	0	0	0	0
ALPK2	0	0	0	0	0
ALPK3	0	0	0	0	0
ALPL	0	0	0	0	0
ALPP	0	0	0	0	0
ALPPL2	0	0	0	0	0
ALS2	0	0	0	0	0
ALS2CL	0	0	0	0	0
ALS2CR11	0	0	0	0	0
ALS2CR12	0	0	0	0	0
ALS2CR8	0	0	0	0	0
ALX1	0	0	0	0	0
ALX3	0	0	0	0	0
ALX4	0	0	0	0	0
ALYREF	0	0	0	0	0
AMACR	0	0	0	0	0
AMBN	0	0	0	0	0
AMBP	0	0	0	0	0
AMBRA1	0	0	0	0	0
AMD1	0	0	0	0	0
AMDHD1	0	0	0	0	0
AMDHD2	0	0	0	0	0
AMER2	0	0	0	0	0
AMER3	0	0	0	0	0
AMFR	0	0	0	0	0
AMH	0	0	0	0	0
AMHR2	0	0	0	0	0
AMICA1	0	0	0	0	0
AMIGO1	0	0	0	0	0
AMIGO2	0	0	0	0	0
AMIGO3	0	0	0	0	0
AMMECR1L	0	0	0	0	0
AMN	0	0	0	0	0
AMN1	0	0	0	0	0
AMOTL1	0	0	0	0	0
AMOTL2	0	0	0	0	0
AMPD1	0	0	0	0	0
AMPD2	0	0	0	0	0
AMPD3	0	0	0	0	0
AMPH	0	0	0	0	0
AMT	0	0	0	0	0
AMTN	0	0	0	0	0
AMY1A	0	0	0	0	0
AMY2A	0	0	0	0	0
AMY2B	0	0	0	0	0
AMZ1	0	0	0	0	0
AMZ2	0	0	0	0	0
AMZ2P1	0	0	0	0	0
ANAPC1	0	0	0	0	0
ANAPC10	0	0	0	0	0
ANAPC11	0	0	0	0	0
ANAPC13	0	0	0	0	0
ANAPC15	0	0	0	0	0
ANAPC16	0	0	0	0	0
ANAPC1P1	0	0	0	0	0
ANAPC2	0	0	0	0	0
ANAPC4	0	0	0	0	0
ANAPC5	0	0	0	0	0
ANAPC7	0	0	0	0	0
ANGEL1	0	0	0	0	0
ANGEL2	0	0	0	0	0
ANGPT1	0	0	0	0	0
ANGPT2	0	0	0	0	0
ANGPT4	0	0	0	0	0
ANGPTL1	0	0	0	0	0
ANGPTL2	0	0	0	0	0
ANGPTL3	0	0	0	0	0
ANGPTL4	0	0	0	0	0
ANGPTL5	0	0	0	0	0
ANGPTL6	0	0	0	0	0
ANGPTL7	0	0	0	0	0
ANHX	0	0	0	0	0
ANK1	0	0	0	0	0
ANK2	0	0	0	0	0
ANK3	0	0	1	0	0
ANKAR	0	0	0	0	0
ANKDD1A	0	0	0	0	0
ANKDD1B	0	0	0	0	0
ANKEF1	0	0	0	0	0
ANKFN1	0	0	0	0	0
ANKFY1	0	0	0	0	0
ANKH	0	0	0	0	0
ANKHD1-EIF4EBP3	0	0	0	0	0
ANKIB1	0	0	0	0	0
ANKK1	0	0	0	0	0
ANKLE1	0	0	0	0	0
ANKLE2	0	0	0	0	0
ANKMY1	0	0	0	0	0
ANKMY2	0	0	0	0	0
ANKRA2	0	0	0	0	0
ANKRD1	0	0	0	0	0
ANKRD10	0	0	0	0	0
ANKRD11	0	0	0	0	0
ANKRD12	0	0	0	0	0
ANKRD13A	0	0	0	0	0
ANKRD13B	0	0	0	0	0
ANKRD13C	0	0	0	0	0
ANKRD13D	0	0	0	0	0
ANKRD16	0	0	0	0	0
ANKRD17	0	0	0	0	0
ANKRD18A	0	0	0	0	0
ANKRD18B	0	0	0	0	0
ANKRD18DP	0	0	0	0	0
ANKRD19P	0	0	0	0	0
ANKRD2	0	0	0	0	0
ANKRD20A11P	0	0	0	0	0
ANKRD20A19P	0	0	0	0	0
ANKRD20A5P	0	0	0	0	0
ANKRD20A8P	0	0	0	0	0
ANKRD20A9P	0	0	0	0	0
ANKRD22	0	0	0	0	0
ANKRD23	0	0	0	0	0
ANKRD24	0	0	0	0	0
ANKRD26	0	0	0	0	0
ANKRD26P1	0	0	0	0	0
ANKRD26P3	0	0	0	0	0
ANKRD27	0	0	0	0	0
ANKRD28	0	0	0	0	0
ANKRD29	0	0	0	0	0
ANKRD30A	0	0	0	0	0
ANKRD30B	0	0	0	0	0
ANKRD30BL	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0
ANKRD30BP3	0	0	0	0	0
ANKRD31	0	0	0	0	0
ANKRD32	0	0	0	0	0
ANKRD33	0	0	0	0	0
ANKRD33B	0	0	0	0	0
ANKRD34A	0	0	0	0	0
ANKRD34B	0	0	0	0	0
ANKRD34C	0	0	0	0	0
ANKRD35	0	0	0	0	0
ANKRD36	0	0	0	0	0
ANKRD36B	0	0	0	0	0
ANKRD36BP1	0	0	0	0	0
ANKRD36BP2	0	0	0	0	0
ANKRD37	0	0	0	0	0
ANKRD39	0	0	0	0	0
ANKRD40	0	0	0	0	0
ANKRD42	0	0	0	0	0
ANKRD44	0	0	0	0	0
ANKRD45	0	0	0	0	0
ANKRD46	0	0	0	0	0
ANKRD49	0	0	0	0	0
ANKRD50	0	0	0	0	0
ANKRD52	0	0	0	0	0
ANKRD53	0	0	0	0	0
ANKRD54	0	0	0	0	0
ANKRD55	0	0	0	0	0
ANKRD6	0	0	0	0	0
ANKRD61	0	0	0	0	0
ANKRD62	0	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0
ANKRD63	0	0	0	0	0
ANKRD65	0	0	0	0	0
ANKRD66	0	0	0	0	0
ANKRD7	0	0	0	0	0
ANKRD9	0	0	0	0	0
ANKS1A	0	0	0	0	0
ANKS1B	0	0	0	0	0
ANKS3	0	0	0	0	0
ANKS4B	0	0	0	0	0
ANKS6	0	0	0	0	0
ANKUB1	0	0	0	0	0
ANKZF1	0	0	0	0	0
ANLN	0	0	0	0	0
ANO1	0	0	0	0	0
ANO10	0	0	0	0	0
ANO2	0	0	0	0	0
ANO3	0	0	0	0	0
ANO4	0	0	0	0	0
ANO5	0	0	0	0	0
ANO6	0	0	0	0	0
ANO7	0	0	0	0	0
ANO8	0	0	0	0	0
ANO9	0	0	0	0	0
ANP32A	0	0	0	0	0
ANP32A-IT1	0	0	0	0	0
ANP32AP1	0	0	0	0	0
ANP32B	0	0	0	0	0
ANP32C	0	0	0	0	0
ANP32D	0	0	0	0	0
ANP32E	0	0	0	0	0
ANPEP	0	0	0	0	0
ANTXR1	0	0	0	0	0
ANTXR2	0	0	0	0	0
ANXA1	0	0	0	0	0
ANXA10	0	0	0	0	0
ANXA11	0	0	0	0	0
ANXA13	0	0	0	0	0
ANXA2	0	0	0	0	0
ANXA2P1	0	0	0	0	0
ANXA2P2	0	0	0	0	0
ANXA2P3	0	0	0	0	0
ANXA2R	0	0	0	0	0
ANXA3	0	0	0	0	0
ANXA4	0	0	0	0	0
ANXA5	0	0	0	0	0
ANXA6	0	0	0	0	0
ANXA7	0	0	0	0	0
ANXA8L2	0	0	0	0	0
ANXA9	0	0	0	0	0
AOAH	0	0	0	0	0
AOAH-IT1	0	0	0	0	0
AOC2	0	0	0	0	0
AOC3	0	0	0	0	0
AOC4	0	0	0	0	0
AOX1	0	0	0	0	0
AOX2P	0	0	0	0	0
AP1AR	0	0	0	0	0
AP1B1	0	0	0	0	0
AP1B1P1	0	0	0	0	0
AP1G1	0	0	0	0	0
AP1G2	0	0	0	0	0
AP1M1	0	0	0	0	0
AP1M2	0	0	0	0	0
AP1S1	0	0	0	0	0
AP1S3	0	0	0	0	0
AP2A1	0	0	0	0	0
AP2A2	0	0	0	0	0
AP2B1	0	0	0	0	0
AP2M1	0	0	0	0	0
AP2S1	0	0	0	0	0
AP3B1	0	0	0	0	0
AP3B2	0	0	0	0	0
AP3D1	0	0	0	0	0
AP3M1	0	0	0	0	0
AP3M2	0	0	0	0	0
AP3S1	0	0	0	0	0
AP4B1	0	0	0	0	0
AP4B1-AS1	0	0	0	0	0
AP4E1	0	0	0	0	0
AP4M1	0	0	0	0	0
AP4S1	0	0	0	0	0
AP5B1	0	0	0	0	0
AP5M1	0	0	0	0	0
AP5S1	0	0	0	0	0
AP5Z1	0	0	0	0	0
APAF1	0	0	0	0	0
APBA1	0	0	0	0	0
APBA2	0	0	0	0	0
APBA3	0	0	0	0	0
APBB1	0	0	0	0	0
APBB1IP	0	0	0	0	0
APBB2	0	0	0	0	0
APBB3	0	0	0	0	0
APC	0	0	0	0	0
APC2	0	0	0	0	0
APCDD1	0	0	0	0	0
APCDD1L	0	0	0	0	0
APCDD1L-AS1	0	0	0	0	0
APCS	0	0	0	0	0
APEH	0	0	0	0	0
APEX1	0	0	0	0	0
APH1A	0	0	0	0	0
APH1B	0	0	0	0	0
API5	0	0	0	0	0
APIP	0	0	0	0	0
APITD1-CORT	0	0	0	0	0
APLF	0	0	0	0	0
APLNR	0	0	0	0	0
APLP1	0	0	0	0	0
APLP2	0	0	0	0	0
APMAP	0	0	0	0	0
APOA1	0	0	0	0	0
APOA1BP	0	0	0	0	0
